Student_ID,Gender,Age,Branch,Year,Attendance,Study_Hours,Coding_Hours,Assignment_Score,Internal_Marks,Final_Exam,CGPA,Projects,Certifications,Internship,Extra_Curricular,Placement,Company_Tier,Salary_LPA
STU0100,Male,23,CSE,4,95.4,3.1,3.2,78.2,78.5,82.9,7.49,0,3,No,Yes,Yes,Tier 3,7.17
STU0101,Male,23,Mechanical,4,77.4,4.8,1.5,63.2,74.4,100.0,8.55,3,3,No,Yes,Yes,Tier 2,13.62
STU0102,Female,23,IT,1,76.9,3.0,0.0,75.5,76.3,86.3,8.13,2,6,Yes,Yes,Yes,Tier 2,13.22
STU0103,Male,22,IT,3,94.1,5.7,1.9,76.5,81.6,95.8,8.37,3,2,Yes,Yes,Yes,Tier 2,12.17
STU0104,Male,21,ECE,1,79.4,4.1,1.0,76.2,62.0,79.0,7.17,1,5,Yes,Yes,Yes,Tier 3,4.47
STU0105,Female,23,Civil,2,74.9,1.4,1.8,60.3,75.0,58.4,6.14,3,2,Yes,No,Yes,Tier 3,5.88
STU0106,Male,21,IT,4,73.1,4.6,3.2,67.7,71.1,91.1,7.76,3,2,Yes,Yes,Yes,Tier 3,4.35
STU0107,Male,19,Mechanical,2,70.6,4.1,3.8,60.9,69.2,80.2,6.54,2,3,Yes,Yes,No,Not Placed,0.0
STU0108,Female,23,CSE,3,86.3,4.4,4.4,72.4,82.7,70.3,7.76,4,6,No,No,Yes,Tier 3,6.08
STU0109,Male,19,ECE,1,67.6,6.5,4.5,57.6,73.2,95.6,8.27,1,8,No,Yes,Yes,Tier 2,10.84
STU0110,Male,23,CSE,2,92.8,3.5,0.9,74.9,90.9,92.8,8.59,1,3,Yes,No,No,Not Placed,0.0
STU0111,Male,18,Civil,1,81.3,1.9,4.3,72.1,80.4,68.4,7.45,2,2,No,Yes,Yes,Tier 3,4.02
STU0112,Male,20,CSE,4,78.5,5.3,0.7,73.7,71.2,100.0,8.46,0,7,Yes,No,No,Not Placed,0.0
STU0113,Female,19,Mechanical,2,80.2,1.7,4.1,67.8,85.7,67.8,7.35,1,3,No,Yes,No,Not Placed,0.0
STU0114,Female,23,CSE,3,85.7,2.9,3.4,83.7,89.9,83.5,7.68,2,5,Yes,Yes,Yes,Tier 3,7.11
STU0115,Female,20,CSE,1,78.2,3.9,2.8,57.7,73.9,65.3,7.23,2,3,No,Yes,No,Not Placed,0.0
STU0116,Female,19,IT,1,80.5,2.7,1.2,57.3,85.2,68.3,7.09,4,3,Yes,No,Yes,Tier 3,6.6
STU0117,Female,22,IT,3,90.4,3.7,4.3,70.0,81.5,81.3,8.04,2,1,Yes,No,No,Not Placed,0.0
STU0118,Male,23,CSE,2,84.8,3.6,1.0,71.7,86.6,72.8,8.23,3,5,Yes,No,Yes,Tier 2,9.69
STU0119,Female,22,IT,2,72.0,5.6,2.5,77.6,81.6,100.0,9.36,4,3,Yes,No,Yes,Tier 1,24.63
STU0120,Male,18,Mechanical,1,76.3,1.0,2.6,65.5,68.1,53.2,6.52,2,2,Yes,Yes,Yes,Tier 3,6.18
STU0121,Female,23,ECE,3,67.7,3.9,0.0,54.7,80.0,79.7,7.66,3,4,No,No,Yes,Tier 3,6.03
STU0122,Female,18,CSE,1,86.9,2.7,2.7,67.7,78.8,64.2,6.94,3,1,No,No,No,Not Placed,0.0
STU0123,Male,20,Mechanical,1,87.8,3.1,0.9,73.9,82.0,80.8,8.03,1,4,Yes,No,Yes,Tier 2,10.63
STU0124,Male,19,CSE,4,74.5,4.6,4.7,57.4,81.1,83.4,7.19,3,1,No,No,No,Not Placed,0.0
STU0125,Male,21,ECE,2,100.0,4.4,6.0,95.4,82.9,100.0,8.37,3,1,Yes,No,Yes,Tier 2,8.3
STU0126,Male,18,CSE,2,100.0,4.2,1.4,61.3,92.9,78.2,7.81,4,2,Yes,No,Yes,Tier 3,7.94
STU0127,Female,21,ECE,4,82.2,2.3,1.9,64.1,77.4,59.5,7.07,2,2,Yes,Yes,No,Not Placed,0.0
STU0128,Female,21,CSE,2,75.6,5.2,2.7,62.1,69.2,95.1,8.06,3,5,No,Yes,Yes,Tier 2,11.57
STU0129,Male,19,Civil,2,84.2,2.7,0.0,63.5,82.2,66.9,7.4,2,1,No,Yes,No,Not Placed,0.0
STU0130,Male,20,IT,2,75.4,5.5,5.0,71.9,82.7,100.0,8.63,3,4,Yes,No,Yes,Tier 2,8.38
STU0131,Male,19,CSE,3,89.6,3.0,2.0,69.0,80.6,87.6,8.03,0,4,Yes,No,Yes,Tier 2,8.35
STU0132,Male,23,CSE,4,83.3,5.0,1.9,75.8,68.5,90.1,7.98,3,6,Yes,Yes,Yes,Tier 3,7.08
STU0133,Male,18,Civil,1,83.9,3.9,3.5,83.8,74.4,91.8,8.38,0,4,Yes,Yes,Yes,Tier 2,10.41
STU0134,Male,21,ECE,3,96.1,1.8,2.6,87.8,77.4,66.9,7.63,1,6,No,Yes,No,Not Placed,0.0
STU0135,Female,19,Mechanical,1,77.0,3.4,2.7,68.6,91.7,73.0,7.86,0,2,Yes,Yes,No,Not Placed,0.0
STU0136,Male,19,Civil,4,77.4,5.8,3.8,67.6,66.7,100.0,8.62,3,2,Yes,No,Yes,Tier 2,11.0
STU0137,Male,19,Civil,4,88.9,4.8,2.3,81.0,61.3,98.6,8.62,2,2,Yes,No,No,Not Placed,0.0
STU0138,Female,18,Mechanical,4,78.6,3.3,0.8,65.9,71.2,90.2,7.7,2,2,No,Yes,Yes,Tier 3,6.46
STU0139,Male,20,CSE,2,94.8,5.4,4.3,73.2,83.9,96.4,8.89,4,3,Yes,No,Yes,Tier 2,8.01
STU0140,Female,19,Mechanical,3,90.0,4.1,1.6,66.6,80.3,82.3,7.67,3,2,Yes,No,Yes,Tier 3,6.06
STU0141,Female,18,CSE,4,79.0,5.8,1.7,70.9,75.9,88.6,8.51,3,6,Yes,No,Yes,Tier 2,12.85
STU0142,Male,21,Mechanical,1,67.5,3.7,2.8,53.7,58.5,77.5,7.13,3,2,Yes,No,Yes,Tier 3,5.57
STU0143,Male,23,ECE,2,70.4,3.4,0.5,58.1,70.7,74.0,7.12,1,3,No,Yes,Yes,Tier 3,4.65
STU0144,Male,22,Mechanical,2,78.1,5.0,2.9,84.8,66.1,100.0,7.82,3,2,Yes,No,No,Not Placed,0.0
STU0145,Male,18,ECE,3,85.2,4.1,3.9,77.3,84.8,91.6,8.18,5,3,No,Yes,Yes,Tier 2,13.96
STU0146,Male,22,ECE,3,90.8,4.5,4.9,78.2,71.3,79.6,7.46,2,6,Yes,Yes,Yes,Tier 3,5.59
STU0147,Female,19,Civil,3,80.3,2.8,3.6,63.4,74.5,83.6,8.23,1,3,Yes,Yes,No,Not Placed,0.0
STU0148,Male,19,CSE,2,74.9,5.2,4.1,72.4,66.1,100.0,8.06,3,4,Yes,No,Yes,Tier 2,14.98
STU0149,Male,18,IT,4,80.9,5.0,1.5,61.4,83.1,93.7,8.26,3,2,No,No,No,Not Placed,0.0
STU0150,Male,22,ECE,1,82.2,5.4,3.7,58.0,72.3,100.0,9.08,1,3,No,No,Yes,Tier 1,23.03
STU0151,Female,19,Civil,4,92.4,2.2,2.2,71.4,72.8,63.8,6.78,1,2,Yes,No,Yes,Tier 3,4.51
STU0152,Male,21,CSE,1,92.0,2.4,4.2,66.2,89.4,56.0,6.66,1,2,Yes,Yes,No,Not Placed,0.0
STU0153,Male,20,CSE,4,74.0,2.9,2.7,69.4,56.1,65.0,5.94,1,1,Yes,Yes,No,Not Placed,0.0
STU0154,Male,20,CSE,3,85.6,3.5,4.1,75.0,83.3,82.2,7.69,0,4,No,No,Yes,Tier 3,4.32
STU0155,Female,19,CSE,1,75.2,2.2,2.7,68.2,75.3,65.2,7.07,1,4,No,No,Yes,Tier 3,4.83
STU0156,Male,22,Civil,2,75.4,4.6,1.3,71.1,92.9,100.0,9.0,1,2,No,Yes,Yes,Tier 1,28.42
STU0157,Female,23,Mechanical,1,90.3,3.3,2.6,79.0,85.4,85.6,7.94,1,1,No,Yes,No,Not Placed,0.0
STU0158,Female,19,ECE,2,80.4,5.3,2.0,63.8,79.2,83.3,7.29,2,3,No,No,Yes,Tier 3,5.97
STU0159,Male,23,ECE,4,87.1,6.3,4.4,76.7,71.7,100.0,8.0,2,2,Yes,No,Yes,Tier 2,13.8
STU0160,Female,23,Mechanical,3,86.3,3.1,0.5,75.0,76.4,73.7,6.91,4,3,Yes,Yes,Yes,Tier 3,6.68
STU0161,Male,22,CSE,1,81.4,2.9,0.0,64.8,77.8,69.3,6.1,1,4,No,No,No,Not Placed,0.0
STU0162,Female,23,IT,2,84.7,4.7,2.9,68.7,88.7,85.7,7.36,3,2,Yes,No,No,Not Placed,0.0
STU0163,Female,21,IT,4,83.6,3.9,2.0,77.8,70.6,78.2,7.56,1,4,No,Yes,No,Not Placed,0.0
STU0164,Male,22,CSE,3,72.8,4.2,0.8,54.5,56.7,80.4,6.99,5,6,Yes,No,Yes,Tier 3,7.43
STU0165,Male,19,IT,3,85.9,5.4,2.4,74.9,78.5,97.8,8.7,2,4,Yes,No,Yes,Tier 2,11.62
STU0166,Female,21,IT,3,76.4,3.5,2.9,66.2,60.5,68.0,6.47,3,3,Yes,No,Yes,Tier 3,7.28
STU0167,Male,18,CSE,4,73.4,2.5,4.3,65.1,78.2,80.4,7.52,1,5,Yes,Yes,Yes,Tier 3,7.77
STU0168,Male,20,CSE,4,88.8,2.3,0.0,71.6,91.5,68.3,7.33,1,1,No,Yes,No,Not Placed,0.0
STU0169,Male,19,Mechanical,4,77.3,3.6,2.8,70.9,81.9,97.4,8.2,1,1,No,No,No,Not Placed,0.0
STU0170,Female,19,CSE,3,90.9,3.4,5.0,62.4,76.4,84.2,7.56,1,4,No,Yes,No,Not Placed,0.0
STU0171,Female,19,Civil,1,90.8,4.8,4.9,77.0,93.4,92.8,9.41,2,4,Yes,Yes,Yes,Tier 1,17.17
STU0172,Male,21,CSE,2,78.2,5.5,2.6,59.6,68.0,100.0,8.2,1,3,Yes,No,Yes,Tier 2,14.98
STU0173,Male,18,Mechanical,4,90.5,5.5,1.6,83.0,72.4,100.0,8.05,3,4,Yes,No,Yes,Tier 2,13.17
STU0174,Male,22,Civil,1,78.9,3.0,2.1,58.1,85.9,64.4,7.74,2,2,No,Yes,Yes,Tier 3,6.3
STU0175,Female,18,Civil,2,81.5,2.8,1.0,50.7,72.9,60.8,6.81,4,3,No,Yes,No,Not Placed,0.0
STU0176,Male,21,Civil,3,86.0,1.6,1.8,58.7,79.3,57.7,7.32,3,4,No,No,No,Not Placed,0.0
STU0177,Female,19,CSE,1,98.3,3.8,2.6,78.6,92.3,85.6,8.59,3,4,No,No,Yes,Tier 2,14.95
STU0178,Male,20,IT,3,89.5,4.9,3.2,61.8,71.0,98.2,8.31,1,3,Yes,No,Yes,Tier 2,9.17
STU0179,Female,19,IT,2,81.5,3.0,3.8,59.4,71.5,72.8,7.38,2,3,No,No,No,Not Placed,0.0
STU0180,Male,22,CSE,4,82.8,2.0,2.3,65.0,71.7,70.9,7.34,4,3,No,No,Yes,Tier 3,6.59
STU0181,Male,23,CSE,3,69.3,6.1,2.2,67.3,67.8,100.0,7.72,2,2,No,Yes,Yes,Tier 3,4.75
STU0182,Male,20,Civil,1,90.0,3.0,3.8,68.4,74.3,68.8,7.23,0,1,Yes,Yes,No,Not Placed,0.0
STU0183,Female,19,ECE,4,89.2,3.7,2.0,72.4,82.6,70.3,7.6,1,5,No,No,Yes,Tier 3,6.03
STU0184,Female,20,ECE,1,84.3,3.2,3.5,69.6,80.0,71.0,7.6,5,0,Yes,Yes,Yes,Tier 3,4.16
STU0185,Male,23,Civil,2,87.7,2.2,0.0,61.7,78.9,79.8,7.56,2,6,No,Yes,Yes,Tier 3,5.37
STU0186,Female,18,ECE,2,65.8,4.9,3.2,64.4,69.7,99.0,8.73,4,5,No,No,Yes,Tier 2,14.11
STU0187,Female,21,ECE,4,73.3,1.7,5.7,83.3,66.4,69.6,7.07,2,6,No,Yes,Yes,Tier 3,7.03
STU0188,Female,19,Mechanical,1,96.4,5.1,1.1,64.2,83.4,100.0,8.54,0,2,Yes,No,Yes,Tier 2,10.78
STU0189,Male,22,CSE,1,79.9,4.1,4.6,61.9,61.5,82.2,7.49,2,3,Yes,No,Yes,Tier 3,4.68
STU0190,Male,18,IT,1,88.1,3.5,3.5,63.3,87.0,77.6,8.33,1,1,No,Yes,No,Not Placed,0.0
STU0191,Male,19,Civil,1,76.0,3.5,3.8,65.2,68.5,80.7,7.19,1,3,No,Yes,Yes,Tier 3,4.25
STU0192,Female,18,Civil,2,78.5,4.3,3.5,56.6,70.1,78.0,7.08,2,2,No,Yes,No,Not Placed,0.0
STU0193,Female,22,Civil,1,96.8,3.0,1.5,88.3,75.9,77.0,7.88,1,3,No,No,No,Not Placed,0.0
STU0194,Female,19,IT,2,80.7,4.0,0.5,80.7,76.5,93.8,8.63,1,3,Yes,Yes,Yes,Tier 2,14.67
STU0195,Male,23,Civil,1,86.2,2.7,3.2,77.9,73.8,76.1,7.41,1,5,No,Yes,Yes,Tier 3,5.73
STU0196,Male,23,CSE,1,83.0,1.2,2.3,78.1,81.5,59.2,6.94,5,1,No,No,Yes,Tier 3,6.88
STU0197,Female,22,CSE,3,84.0,4.5,0.4,72.1,68.6,95.3,8.43,3,2,Yes,Yes,Yes,Tier 2,14.36
STU0198,Female,20,IT,3,83.7,6.7,1.8,79.7,78.0,100.0,8.22,3,3,No,No,Yes,Tier 2,13.16
STU0199,Female,22,IT,1,66.2,4.5,0.9,59.0,71.5,90.8,7.02,1,2,No,Yes,No,Not Placed,0.0
STU0200,Female,20,CSE,2,85.8,3.7,5.4,67.9,84.3,71.3,7.63,3,5,No,No,No,Not Placed,0.0
STU0201,Female,19,IT,1,77.7,3.3,3.8,73.0,79.2,69.3,7.39,2,3,No,Yes,No,Not Placed,0.0
STU0202,Male,20,CSE,3,96.2,3.4,1.0,74.8,75.8,70.8,7.68,2,2,No,Yes,No,Not Placed,0.0
STU0203,Male,19,IT,1,75.8,3.3,3.3,83.8,73.4,85.0,8.12,2,3,No,Yes,Yes,Tier 2,11.28
STU0204,Female,19,Mechanical,3,78.2,4.0,0.8,76.4,73.3,77.4,8.16,2,4,No,Yes,Yes,Tier 2,10.58
